Time,cpu_util_percent,mem_util_percent,mem_gps,mpki,net_in,net_out,disk_usage_percent
4880,45.0,88.0,0.0,0.0,40.59,30.15,6.0
4900,5.0,91.0,0.0,0.0,22.8,18.13,1.0
4940,33.0,82.0,0.0,0.0,40.59,30.15,6.0
4960,31.5,88.5,0.0,0.0,36.82,28.32,3.5
4980,4.0,91.0,0.0,0.0,22.8,18.13,1.0
4990,29.0,85.0,0.0,0.0,35.94,26.54,1.0
5010,17.0,91.0,0.0,0.0,30.25,24.115,2.0
5020,26.5,86.5,0.0,0.0,37.445,27.99,2.5
5030,4.0,91.0,0.0,0.0,22.8,18.13,1.0
5040,4.0,91.0,0.0,0.0,22.8,18.13,1.0
5050,5.0,91.0,0.0,0.0,22.8,18.13,1.0
5080,31.0,83.0,0.0,0.0,40.59,30.15,3.0
5100,32.0,83.0,0.0,0.0,35.94,26.54,4.0
5110,6.0,91.0,0.0,0.0,22.8,18.13,1.0
5120,31.0,91.0,0.0,0.0,37.7,30.1,4.0
5130,39.0,82.0,0.0,0.0,40.59,30.16,6.0
5160,37.0,91.0,0.0,0.0,37.7,30.1,5.0
5170,36.0,91.0,0.0,0.0,37.7,30.1,5.0
5210,38.5,84.0,0.0,0.0,38.265,28.35,5.5
5220,36.0,87.0,0.0,0.0,39.145,30.135,3.0
5230,39.0,81.0,0.0,0.0,40.59,30.16,3.0
5240,5.0,91.0,0.0,0.0,22.8,18.13,1.0
5250,27.0,91.0,0.0,0.0,37.7,30.11,3.0
5260,37.0,82.0,0.0,0.0,40.59,30.16,3.0
5310,33.0,81.0,0.0,0.0,37.19,25.89,3.0
5320,35.0,82.0,0.0,0.0,40.6,30.16,3.0
5340,17.0,85.5,0.0,0.0,31.7,24.145,2.0
5350,31.0,81.0,0.0,0.0,35.94,26.54,2.0
5400,36.0,85.0,0.0,0.0,35.94,26.54,1.0
5410,37.0,85.0,0.0,0.0,35.94,26.54,1.0
5420,31.0,81.5,0.0,0.0,36.57,26.22,4.0
5440,27.0,79.0,0.0,0.0,37.2,25.9,7.0
5520,38.5,85.0,0.0,0.0,38.275,28.35,1.5
5560,4.0,91.0,0.0,0.0,22.8,18.13,1.0
5570,35.0,80.0,0.0,0.0,37.2,25.9,27.0
5580,4.0,91.0,0.0,0.0,22.8,18.13,1.0
5590,47.0,84.0,0.0,0.0,40.6,30.16,4.0
5600,39.0,84.0,0.0,0.0,35.95,26.54,3.0
5610,47.0,85.0,0.0,0.0,40.6,30.16,4.0
5650,19.5,85.5,0.0,0.0,30.0,22.015,2.5
5670,33.0,83.0,0.0,0.0,35.95,26.54,3.0
5700,36.0,89.0,0.0,0.0,37.71,30.11,4.0
5720,36.0,81.0,0.0,0.0,40.6,30.16,5.0
5730,23.3333,85.0,0.0,0.0,33.12,24.9433,3.3333
5760,31.0,81.0,0.0,0.0,40.61,30.17,3.0
5770,29.0,79.0,0.0,0.0,37.21,25.9,5.0
5790,4.0,91.0,0.0,0.0,22.8,18.13,1.0
5800,29.0,80.0,0.0,0.0,40.61,30.17,3.0
5830,31.0,81.0,0.0,0.0,40.61,30.17,3.0
5860,29.0,88.0,0.0,0.0,37.71,30.11,4.0
5910,28.0,89.0,0.0,0.0,37.71,30.12,4.0
5940,29.0,83.0,0.0,0.0,35.95,26.55,3.0
5960,36.0,89.0,0.0,0.0,37.71,30.12,5.0
5980,31.0,80.0,0.0,0.0,40.61,30.17,3.0
6000,29.0,80.0,0.0,0.0,40.61,30.17,2.0
6060,24.0,84.0,0.0,0.0,35.96,26.55,1.0
6080,30.0,80.0,0.0,0.0,40.61,30.17,3.0
6110,28.0,80.0,0.0,0.0,40.61,30.17,3.0
6160,29.0,88.0,0.0,0.0,37.71,30.12,4.0
6170,26.0,79.0,0.0,0.0,40.61,30.17,3.0
6210,27.0,78.0,0.0,0.0,40.61,30.17,2.0
6260,31.0,83.0,0.0,0.0,35.96,26.55,2.0
6280,31.0,78.0,0.0,0.0,40.61,30.17,2.0
6330,26.0,87.0,0.0,0.0,37.72,30.12,6.0
6420,26.0,83.0,0.0,0.0,35.96,26.55,2.0
6430,30.0,79.0,0.0,0.0,40.62,30.18,3.0
6500,27.0,83.0,0.0,0.0,37.1,27.645,4.5
6510,20.0,81.0,0.0,0.0,35.96,26.56,3.0
6530,22.0,82.0,0.0,0.0,35.97,26.56,3.0
6540,27.0,81.0,0.0,0.0,40.62,30.18,3.0
6550,24.0,82.0,0.0,0.0,35.97,26.56,2.0
6560,28.0,82.0,0.0,0.0,40.62,30.18,3.0
6580,22.0,82.0,0.0,0.0,35.97,26.56,2.0
6590,26.0,83.0,0.0,0.0,38.295,28.37,2.5
6630,26.0,81.0,0.0,0.0,35.97,26.56,3.0
6660,36.5,85.5,0.0,0.0,37.1,27.645,2.5
6670,36.0,87.0,0.0,0.0,33.58,25.11,2.0
6690,26.0,82.0,0.0,0.0,35.97,26.56,2.0
6710,26.0,80.0,0.0,0.0,40.62,30.18,3.0
6720,33.0,92.0,0.0,0.0,37.72,30.13,4.0
6740,34.0,92.0,0.0,0.0,37.72,30.13,4.0
6800,33.0,85.0,0.0,0.0,33.58,25.11,4.0
6810,31.0,83.0,0.0,0.0,40.63,30.18,3.0
6830,31.0,86.0,0.0,0.0,33.58,25.11,4.0
6870,35.0,86.0,0.0,0.0,33.58,25.11,2.0
6900,26.0,85.0,0.0,0.0,36.85,28.345,3.5
6950,29.5,81.5,0.0,0.0,38.3,28.375,2.5
6980,40.0,88.0,0.0,0.0,33.59,25.11,2.0
6990,39.0,88.0,0.0,0.0,33.59,25.11,2.0
7070,31.0,90.0,0.0,0.0,37.73,30.13,3.0
7080,25.0,90.0,0.0,0.0,37.73,30.13,4.0
7110,35.0,79.0,0.0,0.0,40.63,30.19,10.0
7180,27.0,80.0,0.0,0.0,40.63,30.19,10.0
7200,23.0,89.0,0.0,0.0,37.73,30.13,6.0
7210,34.5,88.5,0.0,0.0,35.66,27.625,6.0
7220,31.0,80.0,0.0,0.0,40.63,30.19,4.0
7260,32.0,86.0,0.0,0.0,35.98,26.56,3.0
7270,30.0,85.0,0.0,0.0,35.98,26.56,3.0
7290,27.0,85.0,0.0,0.0,35.98,26.56,3.0
7310,30.0,81.0,0.0,0.0,40.64,30.19,5.0
7320,29.0,80.0,0.0,0.0,40.64,30.19,4.0
7330,34.0,89.0,0.0,0.0,37.73,30.13,6.0
7370,7.0,91.0,0.0,0.0,22.8,18.14,1.0
7390,29.0,91.0,0.0,0.0,37.74,30.14,5.0
7420,4.0,91.0,0.0,0.0,22.8,18.14,1.0
7430,26.5,87.0,0.0,0.0,36.86,28.355,3.5
7440,4.0,91.0,0.0,0.0,22.8,18.14,1.0
7470,27.0,90.0,0.0,0.0,37.74,30.14,6.0
7480,25.0,86.5,0.0,0.0,36.86,28.355,4.0
7500,15.5,90.5,0.0,0.0,30.27,24.14,2.5
7520,28.0,90.0,0.0,0.0,37.74,30.14,3.0
7540,4.0,91.0,0.0,0.0,22.8,18.14,2.0
7550,4.0,91.0,0.0,0.0,22.8,18.14,2.0
7570,40.0,91.0,0.0,0.0,37.74,30.14,6.0
7600,26.0,91.0,0.0,0.0,37.74,30.14,6.0
7630,5.0,91.0,0.0,0.0,22.8,18.14,1.0
7650,21.0,92.0,0.0,0.0,37.74,30.14,5.0
7660,26.0,92.0,0.0,0.0,37.74,30.14,5.0
7680,20.5,89.5,0.0,0.0,36.86,28.355,2.5
7690,33.0,93.0,0.0,0.0,37.74,30.14,4.0
7700,19.0,82.0,0.0,0.0,40.64,30.2,3.0
7740,4.0,91.0,0.0,0.0,22.8,18.14,1.0
7760,4.0,91.0,0.0,0.0,22.8,18.14,1.0
7770,21.0,92.0,0.0,0.0,37.74,30.14,5.0
7780,12.5,85.0,0.0,0.0,31.72,24.17,1.5
7830,33.0,93.0,0.0,0.0,37.74,30.14,3.0
7870,5.0,91.0,0.0,0.0,22.8,18.14,1.0
7890,20.0,86.0,0.0,0.0,35.99,26.57,2.0
7910,29.0,82.0,0.0,0.0,40.65,30.2,2.0
7950,33.0,82.0,0.0,0.0,40.65,30.2,2.0
7980,25.0,91.0,0.0,0.0,37.74,30.14,9.0
8000,26.0,91.0,0.0,0.0,37.74,30.14,9.0
8010,32.0,83.0,0.0,0.0,40.65,30.2,2.0
8060,29.0,86.0,0.0,0.0,35.99,26.57,3.0
8070,28.0,86.0,0.0,0.0,35.99,26.57,3.0
8080,36.0,93.0,0.0,0.0,37.75,30.14,5.0
8160,30.5,83.0,0.0,0.0,38.32,28.39,4.0
8250,23.0,90.0,0.0,0.0,37.75,30.15,4.0
8260,23.0,90.0,0.0,0.0,37.75,30.15,4.0
8300,42.0,84.0,0.0,0.0,35.99,26.58,4.0
8310,21.0,90.0,0.0,0.0,37.75,30.15,4.0
8340,29.0,80.0,0.0,0.0,40.66,30.21,2.0
8540,21.0,87.0,0.0,0.0,37.75,30.15,9.0
8550,26.0,84.0,0.0,0.0,36.0,26.58,2.0
8570,30.0,79.0,0.0,0.0,40.66,30.21,3.0
8630,25.0,84.0,0.0,0.0,36.0,26.58,2.0
8700,22.0,77.0,0.0,0.0,37.26,25.94,9.0
8710,40.0,89.0,0.0,0.0,37.75,30.15,7.0
8720,25.0,76.0,0.0,0.0,37.26,25.94,9.0
8740,21.0,84.0,0.0,0.0,36.0,26.58,2.0
8750,21.0,76.0,0.0,0.0,37.26,25.94,9.0
8760,25.5,86.0,0.0,0.0,35.73,28.0,10.0
8770,28.0,83.0,0.0,0.0,37.55,28.4,11.5
8790,25.0,84.0,0.0,0.0,36.0,26.58,1.0
8800,24.0,84.0,0.0,0.0,36.0,26.58,1.0
8840,35.5,82.5,0.0,0.0,37.145,27.675,2.5
8900,24.5,84.5,0.0,0.0,34.81,25.86,2.0
8910,28.0,89.0,0.0,0.0,37.76,30.15,8.0
8940,26.0,88.0,0.0,0.0,37.85,30.87,4.0
8950,24.0,84.0,0.0,0.0,33.62,25.14,3.0
8970,28.0,88.0,0.0,0.0,37.85,30.87,4.0
8980,24.0,83.5,0.0,0.0,34.81,25.86,3.5
8990,24.0,77.0,0.0,0.0,37.27,25.94,8.0
9030,30.0,85.0,0.0,0.0,33.62,25.14,3.0
9060,29.0,84.0,0.0,0.0,36.01,26.58,2.0
9080,33.0,81.5,0.0,0.0,35.445,25.54,4.0
9090,37.0,77.0,0.0,0.0,37.27,25.94,5.0
9100,40.0,77.0,0.0,0.0,40.67,30.22,2.0
9110,34.0,90.0,0.0,0.0,37.76,30.16,5.0
9120,40.0,78.0,0.0,0.0,40.67,30.22,3.0
9140,26.0,89.0,0.0,0.0,37.76,30.16,5.0
9150,25.0,84.0,0.0,0.0,33.62,25.14,4.0
9170,37.0,79.0,0.0,0.0,37.27,25.94,5.0
9180,27.0,77.0,0.0,0.0,40.67,30.22,2.0
9190,25.0,88.0,0.0,0.0,37.76,30.16,5.0
9210,24.0,83.0,0.0,0.0,36.01,26.58,1.0
9260,28.0,88.0,0.0,0.0,37.76,30.16,5.0
9320,27.0,77.0,0.0,0.0,37.27,25.94,5.0
9330,30.0,85.0,0.0,0.0,33.63,25.14,2.0
9340,31.0,85.0,0.0,0.0,33.63,25.14,2.0
9380,27.0,87.0,0.0,0.0,37.85,30.87,11.0
9400,19.0,76.0,0.0,0.0,37.27,25.94,35.0
9430,18.0,76.0,0.0,0.0,37.27,25.94,13.0
9450,22.0,86.0,0.0,0.0,37.85,30.87,3.0
9460,26.5,79.5,0.0,0.0,37.155,27.68,3.5
9490,20.0,79.0,0.0,0.0,36.01,26.59,1.0
9510,23.0,79.5,0.0,0.0,35.455,25.54,4.0
9520,25.0,83.0,0.0,0.0,33.63,25.14,3.0
9530,22.0,88.0,0.0,0.0,37.77,30.16,5.0
9540,27.0,77.0,0.0,0.0,37.28,25.94,3.0
9550,26.0,82.5,0.0,0.0,37.525,28.05,3.5
9560,25.0,77.0,0.0,0.0,37.28,25.94,3.0
9570,30.0,77.0,0.0,0.0,40.68,30.22,2.0
9600,25.0,81.5,0.0,0.0,35.455,25.54,5.0
9620,30.0,89.0,0.0,0.0,37.77,30.16,9.0
9630,22.0,77.0,0.0,0.0,37.28,25.94,6.0
9640,26.0,76.0,0.0,0.0,40.68,30.22,5.0
9690,24.0,76.0,0.0,0.0,37.28,25.95,5.0
9700,23.0,77.0,0.0,0.0,37.28,25.95,5.0
9710,27.0,86.5,0.0,0.0,35.7,27.65,7.0
9740,26.0,77.0,0.0,0.0,40.68,30.22,2.0
9760,24.0,77.0,0.0,0.0,37.28,25.95,32.0
9770,23.0,88.0,0.0,0.0,37.77,30.16,3.0
9820,24.0,84.0,0.0,0.0,36.89,28.375,2.5
9870,25.0,81.0,0.0,0.0,36.02,26.59,1.0
9910,32.0,85.0,0.0,0.0,33.64,25.15,4.0
9930,29.0,78.0,0.0,0.0,40.68,30.23,3.0
9960,23.0,77.0,0.0,0.0,37.28,25.95,4.0
9980,25.0,77.0,0.0,0.0,37.28,25.95,4.0
10030,26.0,84.0,0.0,0.0,33.64,25.15,2.0
10050,20.0,76.0,0.0,0.0,37.28,25.95,4.0
10090,25.0,76.0,0.0,0.0,40.69,30.23,2.0
10120,23.5,80.0,0.0,0.0,35.465,25.55,3.0
10160,25.0,80.0,0.0,0.0,36.02,26.59,1.0
10180,27.0,76.0,0.0,0.0,40.69,30.23,2.0
10200,36.0,84.0,0.0,0.0,33.64,25.15,2.0
10220,30.0,83.0,0.0,0.0,33.64,25.15,2.0
10260,35.0,78.0,0.0,0.0,40.69,30.23,3.0
10340,22.0,82.0,0.0,0.0,36.02,26.59,2.0
10370,25.0,78.0,0.0,0.0,38.99,28.09,3.0
10380,21.0,81.5,0.0,0.0,35.465,25.55,3.5
10390,34.0,78.0,0.0,0.0,40.69,30.23,3.0
10410,20.0,82.0,0.0,0.0,36.02,26.59,5.0
10420,26.0,85.0,0.0,0.0,33.64,25.15,3.0
10430,26.5,82.5,0.0,0.0,35.465,25.55,3.5
10470,24.0,77.0,0.0,0.0,40.69,30.23,2.0
10500,21.0,83.0,0.0,0.0,36.02,26.59,1.0
10510,31.0,86.0,0.0,0.0,33.65,25.15,2.0
10530,25.0,83.0,0.0,0.0,36.02,26.59,1.0
10560,19.0,80.0,0.0,0.0,37.29,25.95,2.0
10590,25.0,79.0,0.0,0.0,37.29,25.95,2.0
10610,23.0,82.0,0.0,0.0,36.03,26.59,1.0
10720,21.0,77.0,0.0,0.0,40.7,30.23,3.0
10730,22.0,77.0,0.0,0.0,40.7,30.23,3.0
10740,16.0,78.0,0.0,0.0,37.3,25.96,2.0
10790,26.0,77.0,0.0,0.0,40.7,30.23,2.0
10810,35.0,77.0,0.0,0.0,40.7,30.23,3.0
10840,20.0,78.0,0.0,0.0,37.3,25.96,2.0
10850,26.0,84.0,0.0,0.0,36.03,26.6,2.0
10870,29.5,78.0,0.0,0.0,39.0,28.1,2.5
10900,29.5,83.0,0.0,0.0,35.475,25.555,2.5
10940,28.0,87.0,0.0,0.0,33.65,25.15,3.0
10950,29.0,87.0,0.0,0.0,33.65,25.15,3.0
10970,25.0,82.0,0.0,0.0,37.3,25.96,3.0
10980,29.0,78.0,0.0,0.0,40.7,30.24,3.0
11000,31.0,78.0,0.0,0.0,40.71,30.24,3.0
11010,29.0,86.0,0.0,0.0,36.03,26.6,2.0
