Time,mean_cpu_usage_rate,canonical_memory_usage,assigned_memory_usage,total_page_cache_memory_usage,maximum_memory_usage,mean_disk_io_time,mean_local_disk_space_used,maximum_cpu_usage,sampled_cpu_usage
1330,0.187521746,0.186505956,0.23198917,0.055701773,0.193604339,0.023481448,0.00089309,0.663770306,0.110874062
1335,0.17768791,0.172224229,0.214563198,0.051937443,0.179511358,0.024369569,0.000838316,0.624952635,0.108603921
1340,0.177902346,0.176873343,0.220515382,0.053059686,0.184285641,0.024370483,0.000850911,0.623821416,0.107914203
1345,0.183158019,0.18175511,0.226624474,0.054611845,0.189013269,0.023785554,0.000872618,0.637492567,0.110043154
1350,0.191520436,0.188495243,0.23490898,0.05640465,0.195675572,0.023335715,0.000894847,0.678323617,0.113862102
1355,0.179558178,0.174659475,0.217791856,0.052593606,0.181734599,0.024716274,0.000829405,0.631509461,0.10831899
1360,0.181444439,0.173566048,0.215861346,0.051593963,0.18147103,0.025934014,0.000809884,0.62596089,0.110499478
1365,0.194579308,0.191906914,0.238622441,0.056848613,0.19909077,0.026984908,0.000887157,0.667368095,0.114207745
1370,0.188864153,0.187811833,0.233790697,0.05600906,0.195126041,0.023825936,0.000864404,0.650151252,0.112618935
1375,0.194302382,0.192220773,0.239457286,0.057373303,0.199843742,0.027213658,0.000882438,0.670774042,0.110443107
1380,0.204243284,0.206938694,0.257727658,0.061665299,0.214642493,0.038077421,0.00095206,0.740947954,0.111648645
1385,0.173921873,0.176200089,0.219383422,0.053352827,0.183677186,0.031243478,0.000823744,0.627698207,0.102201429
1390,0.176180657,0.176080672,0.21926885,0.052872908,0.183107541,0.030727799,0.000808162,0.632419713,0.102705188
1395,0.1805426,0.185141619,0.23033025,0.055518535,0.192539575,0.031061287,0.00084936,0.651513655,0.101250408
1400,0.187472658,0.195262476,0.24286227,0.058891459,0.202292238,0.035178442,0.000901556,0.677839026,0.107367502
1405,0.180738643,0.185005662,0.230246827,0.055630653,0.19139065,0.034835117,0.000850456,0.638083675,0.106711674
1410,0.161321634,0.178034817,0.224097583,0.053243524,0.183646988,0.034600273,0.000862507,0.631277641,0.083518131
1415,0.131101145,0.146407272,0.184750124,0.044033132,0.151430253,0.031321421,0.000713308,0.544041647,0.066733137
1420,0.148477851,0.157997373,0.198845213,0.0481275,0.164913844,0.03889052,0.000745384,0.588437744,0.08094593
1425,0.147254157,0.152068142,0.190473957,0.045665734,0.158538842,0.03985766,0.00078909,0.581177154,0.088542038
1430,0.15092047,0.150265647,0.187979472,0.046565055,0.158159077,0.038240467,0.000688909,0.650094811,0.089973055
1435,0.14520869,0.15499397,0.193889155,0.047984618,0.162327458,0.037675675,0.000733277,0.593807756,0.082809812
1440,0.150979663,0.159705212,0.198834848,0.049064212,0.169592132,0.036974647,0.000774653,0.581820753,0.087171307
1445,0.163058774,0.164572853,0.203214336,0.051015251,0.175202659,0.033892241,0.000746939,0.603609855,0.097866069
1450,0.169363059,0.180322229,0.224512877,0.053273163,0.188241566,0.032280337,0.000825505,0.651039067,0.095832372
1455,0.168265173,0.178647674,0.222631865,0.053756226,0.187065038,0.037911254,0.000831625,0.663564099,0.097310151
1460,0.17211283,0.17801659,0.222474257,0.053198253,0.18575461,0.037431039,0.000825074,0.645014154,0.097558656
1465,0.174541888,0.17944984,0.224727696,0.052866512,0.186680182,0.034489348,0.000830258,0.662312863,0.099695751
