Time,cpu_util_percent,mem_util_percent,net_in,net_out,disk_usage_percent
2810,22.0345,85.483,34.8603,27.6133,6.2463
2820,23.8541,85.4333,34.7957,27.5513,6.1512
2830,26.525,85.5981,34.7808,27.5335,6.1668
2840,23.7105,85.458,34.7787,27.5238,6.1184
2850,25.6123,85.2516,34.748,27.4935,6.1284
2860,24.2214,85.0297,34.6114,27.3811,6.0927
2870,24.5088,85.0432,34.6221,27.3921,6.0986
2880,26.3508,85.1868,34.6115,27.3822,6.1103
2890,28.8165,85.2861,34.584,27.3455,6.0442
2900,30.7962,85.5937,34.6514,27.3781,6.1594
2910,27.44,86.015,34.6508,27.377,6.1521
2920,29.6614,86.4901,34.6486,27.3748,6.1536
2930,29.0362,86.5215,34.6487,27.3749,6.1536
2940,28.9546,86.7739,34.6578,27.3791,5.9615
2950,32.7989,86.5971,34.6475,27.3755,5.9644
2960,28.4304,86.3626,34.6463,27.3728,5.9616
2970,27.6527,86.54,34.6638,27.3727,5.893
2980,26.291,86.5925,34.6559,27.3751,5.8402
2990,26.6559,86.6355,34.6605,27.3838,5.8764
3000,26.9191,86.7664,34.7674,27.502,5.7279
3010,31.4878,86.884,34.7593,27.4975,5.7274
3020,27.208,87.0264,34.7898,27.521,5.7276
3030,27.3715,87.2428,34.7899,27.5212,5.7276
3040,31.0725,87.7717,34.8578,27.5979,5.7328
3050,32.6439,87.9324,34.858,27.5958,5.7289
3060,32.5335,87.7886,34.8578,27.5963,4.8749
3070,33.4653,87.6688,34.893,27.6286,4.9137
3080,30.2025,87.1693,34.7791,27.5693,4.9209
3090,27.6459,86.869,34.7917,27.5633,4.8869
3100,25.9111,86.698,34.7844,27.5631,4.8872
3110,25.1883,86.7538,34.7925,27.567,4.8889
3120,23.3954,86.6766,34.7853,27.5629,3.9901
3130,25.7067,86.63,34.7519,27.5344,3.9555
3140,22.6116,86.6871,34.7803,27.5696,4.0032
3150,22.0937,86.7135,34.7719,27.5584,4.009
3160,25.6595,86.8719,34.7752,27.5629,4.01
3170,23.8451,86.9204,34.7744,27.5611,4.009
3180,23.6892,86.7927,34.7651,27.5559,3.9601
3190,26.8858,86.5615,34.7857,27.5662,3.954
3200,22.499,86.2124,34.7883,27.5668,3.9546
3210,20.3474,85.8918,34.7884,27.5669,3.9546
3220,20.0954,85.6142,34.784,27.5619,3.9546
3230,20.1354,85.6016,34.8233,27.5894,3.9465
3240,22.8939,85.7429,34.8179,27.5857,3.4366
3250,25.4718,85.8837,34.8235,27.5914,3.4375
3260,21.7078,85.8431,34.8352,27.6062,3.4495
3270,20.5476,85.8144,34.8207,27.5893,3.4374
3280,20.2264,85.6355,34.7638,27.5316,3.3951
3290,19.8539,85.5991,34.6638,27.4498,3.3815
3300,19.2879,85.6562,34.7008,27.4934,3.3143
3310,22.4404,85.6976,34.718,27.5034,3.2775
3320,20.416,85.7567,34.6973,27.4841,3.2562
3330,22.8318,85.9562,34.7051,27.4939,3.3165
3340,21.0181,86.1204,34.7159,27.4901,3.3049
3350,20.3053,86.2273,34.6908,27.4667,3.2944
3360,19.255,86.2594,34.6815,27.4591,3.9563
3370,20.5519,86.3032,34.6796,27.4575,3.9533
3380,19.4631,86.3031,34.6686,27.4394,3.9561
3390,19.313,86.4294,34.6762,27.4564,3.9544
3400,21.8392,86.8674,34.8439,27.5997,3.9623
3410,23.5611,87.1487,34.8645,27.6143,3.9154
3420,23.9157,87.2966,34.8521,27.5953,3.4979
3430,25.8243,87.3602,34.8398,27.5881,3.4945
3440,23.3236,87.4812,34.8385,27.5812,3.4983
3450,23.3431,87.5861,34.8297,27.5767,3.4928
